Dates,mm
9/1/2002,0.858704516
10/1/2002,0.841940129
11/1/2002,0.861756387
12/1/2002,0.983956645
1/1/2003,0.960545032
2/1/2003,0.773502968
3/1/2003,0.604228645
4/1/2003,0.610332387
5/1/2003,1.505617548
6/1/2003,1.789357935
7/1/2003,0.896079484
8/1/2003,0.817734194
9/1/2003,0.762884129
10/1/2003,0.662297806
11/1/2003,0.59933729
12/1/2003,0.508700903
1/1/2004,0.475130323
2/1/2004,0.527597419
3/1/2004,0.491351226
4/1/2004,1.181450323
5/1/2004,1.314896516
6/1/2004,0.918236903
7/1/2004,0.833662452
8/1/2004,0.815100387
9/1/2004,0.816605419
10/1/2004,0.761713548
11/1/2004,0.744363871
12/1/2004,0.648836129
1/1/2005,0.567397161
2/1/2005,0.529938581
3/1/2005,0.465305806
4/1/2005,0.763218581
5/1/2005,2.132003613
6/1/2005,2.406630194
7/1/2005,1.034082581
8/1/2005,0.966941419
9/1/2005,0.962091871
10/1/2005,0.880820129
11/1/2005,0.824339613
12/1/2005,0.698167742
1/1/2006,0.604228645
2/1/2006,0.595323871
3/1/2006,0.540390194
4/1/2006,1.053689806
5/1/2006,1.832167742
6/1/2006,2.073223742
7/1/2006,1.497507097
8/1/2006,1.28492129
9/1/2006,1.061131355
