gauge_id,gauge_name,country,gauge_lat,gauge_lon,area
camelsch_2493,Gland-Route_Suisse,CH,46.41,6.27,119.4555853846694
camelsch_2494,Pollegio-Campagna,CH,46.36,8.95,442.5887363415838
camelsch_2497,Nebikon,CH,47.19,7.97,104.3952655406623
camelsch_2498,Castrisch,CH,46.77,9.21,379.8752725780303
camelsch_2500,Ittigen,CH,46.97,7.48,66.87551434930684
camelsch_2602,Domat/Ems,CH,46.84,9.46,3220.0210195904374
camelsch_2603,Langnau,CH,46.94,7.8,186.94486076209915
camelsch_2604,Biberbrugg,CH,47.15,8.72,31.826670548909725
camelsch_2605,Lavertezzo-Campiöi,CH,46.25,8.84,184.6315499502684
camelsch_2606,Genève-Halle_de_l'ìle,CH,46.2,6.14,7980.5871931236225
camelsch_2607,Oberwald,CH,46.53,8.36,38.490393652885125
camelsch_2608,Neuenkirch,CH,47.11,8.21,10.370202967223534
camelsch_2609,Einsiedeln,CH,47.15,8.74,46.58728747704656
camelsch_2610,Vicques,CH,47.35,7.43,72.49042838262409
camelsch_2612,Lavertezzo,CH,46.26,8.84,44.375132256655256
camelsch_2613,Weil-Palmrainbrücke_(_D_),CH,47.6,7.59,36302.64687806463
camelsch_2615,Basel-Klingenthalfähre,CH,47.56,7.59,35825.6952940299
camelsch_2617,Müstair,CH,46.63,10.45,128.24511539659872
camelsch_2620,Soglio,CH,46.33,9.53,176.89812544195308
camelsch_2623,Oberwald,CH,46.53,8.35,93.0706293994084
camelsch_2629,Agno,CH,46.0,8.91,99.61195550040917
camelsch_2630,Sion,CH,46.23,7.37,27.54766040292729
camelsch_2631,Hinterrhein,CH,46.52,9.18,41.413749959848616
camelsch_2634,Emmen,CH,47.07,8.28,476.9862082819154
camelsch_2635,Einsiedeln-Gross,CH,47.11,8.77,8.9206642416771
camelsch_2640,Delémont,CH,47.36,7.35,213.3224521195288
camelsch_2644,Celerina,CH,46.51,9.86,175.72553927400645
camelsch_3001,Bangs,A,47.27,9.53,4640.291986999348
camelsch_3002,Meiningen_(Guefel),A,47.31,9.58,38.97359093907041
camelsch_3003,Gisingen,A,47.26,9.58,1275.7840773098185
