date,tmin,tmax,prcp,srad,vp,pet,dayl,QObs,area,latitude,elevation
1980-03-06,-4.2697163,5.6688027,0.0,369.52112,438.762,1.488103583616615,41746.91628374543,0.0842994605447118,1219077979.0992,35.9045882806,2598.4744374761
1980-03-07,-7.6808276,3.115558,0.6984327,409.7588,339.33197,1.3121914005950304,41883.02177201543,0.09032085058361979,1219077979.0992,35.9045882806,2598.4744374761
1980-03-08,-8.713197,3.65163,0.0,451.91708,302.73795,1.3936387331621134,42019.3508365266,0.08229233053174247,1219077979.0992,35.9045882806,2598.4744374761
1980-03-09,-10.227403,5.522572,0.0,520.6214,254.27068,1.604756563109348,42155.88109102387,0.08229233053174247,1219077979.0992,35.9045882806,2598.4744374761
1980-03-10,-10.161111,6.0822306,0.0,530.9337,252.4003,1.6767019887318595,42292.590671514445,0.08831372057065046,1219077979.0992,35.9045882806,2598.4744374761
1980-03-11,-4.750067,2.7812214,4.7105823,238.03064,435.24435,1.2282840152162384,42429.45819889788,0.09834937063549709,1219077979.0992,35.9045882806,2598.4744374761
1980-03-12,-6.7751923,1.1924423,2.455942,281.83786,377.76492,1.1369226064418356,42566.46274145135,0.0923279805965891,1219077979.0992,35.9045882806,2598.4744374761
1980-03-13,-13.771846,6.9868317,0.0,590.8835,185.91527,1.776040364339897,42703.58377721855,0.0782780705058038,1219077979.0992,35.9045882806,2598.4744374761
1980-03-14,-8.869067,10.392678,0.0,580.38794,260.46948,2.221965847073131,42840.80115634602,0.08028520051877314,1219077979.0992,35.9045882806,2598.4744374761
1980-03-15,-3.3059616,9.851948,0.0,486.96106,424.67444,2.1016411281232243,42978.09506340696,0.10236363066143575,1219077979.0992,35.9045882806,2598.4744374761
1980-03-16,-7.4943366,6.044572,0.077975966,499.195,323.72067,1.741117672605961,43115.44597974852,0.11039215071331307,1219077979.0992,35.9045882806,2598.4744374761
1980-03-17,-17.103706,6.064923,0.0,604.7875,142.43997,1.650972744468727,43252.83464589551,0.09433511060955843,1219077979.0992,35.9045882806,2598.4744374761
1980-03-18,-12.136933,6.316721,0.0,566.894,212.8609,1.800374194154338,43390.24202404064,0.10035650064846642,1219077979.0992,35.9045882806,2598.4744374761
1980-03-19,-6.7082644,5.0784135,0.0,434.9416,354.35828,1.653924654336964,43527.64926064866,0.10838502070034374,1219077979.0992,35.9045882806,2598.4744374761
1980-03-20,-7.9620905,8.371817,0.0,532.83606,291.8446,2.079561809911671,43665.03764919983,0.09834937063549709,1219077979.0992,35.9045882806,2598.4744374761
1980-03-21,-7.808154,10.29938,0.0,552.75726,283.4912,2.33349737865875,43802.38859309609,0.11039215071331307,1219077979.0992,35.9045882806,2598.4744374761
1980-03-22,-5.3141446,9.332794,0.0,492.1138,370.6601,2.199036574753924,43939.68356875227,0.14250623092082232,1219077979.0992,35.9045882806,2598.4744374761
1980-03-23,-6.949721,2.5846343,1.2749567,321.57962,361.8468,1.4090049023210458,44076.90408889333,0.15254188098566895,1219077979.0992,35.9045882806,2598.4744374761
1980-03-24,-9.432798,4.51799,0.0,486.7398,283.29636,1.686483075339959,44214.03166607788,0.14250623092082232,1219077979.0992,35.9045882806,2598.4744374761
1980-03-25,-7.0686927,2.6694856,3.0215385,312.7938,358.63504,1.4429299830580071,44351.04777646802,0.15254188098566895,1219077979.0992,35.9045882806,2598.4744374761
1980-03-26,-12.420298,2.8863895,0.0,537.11273,225.2287,1.5219618773130137,44487.93382386559,0.13648484088191434,1219077979.0992,35.9045882806,2598.4744374761
1980-03-27,-9.956596,1.9719999,8.140394,352.687,294.73206,1.433306039915465,44624.6711040348,0.1485276209597303,1219077979.0992,35.9045882806,2598.4744374761
1980-03-28,-10.836919,-0.25849524,3.4965723,329.88794,278.25803,1.2059111021507185,44761.24076933228,0.13849197089488366,1219077979.0992,35.9045882806,2598.4744374761
1980-03-29,-13.476658,0.59088457,0.0,543.97455,216.77287,1.2977399767230984,44897.62379366632,0.13046345084300634,1219077979.0992,35.9045882806,2598.4744374761
1980-03-30,-14.343924,6.8221393,0.0,644.3732,178.91469,1.98085126710474,45033.8009378083,0.12644919081706768,1219077979.0992,35.9045882806,2598.4744374761
1980-03-31,-9.803264,3.5060384,0.47626922,506.9995,277.49826,1.6500179546390246,45169.75271508096,0.14250623092082232,1219077979.0992,35.9045882806,2598.4744374761
1980-04-01,-17.329998,5.2161155,0.0,661.5572,141.60109,1.7323971934887896,45305.45935744983,0.1123992807262824,1219077979.0992,35.9045882806,2598.4744374761
1980-04-02,-7.3561444,2.9712932,5.23937,323.47937,353.42615,1.5682603471853258,45440.90078204653,0.14652049094676098,1219077979.0992,35.9045882806,2598.4744374761
1980-04-03,-12.810116,4.4765053,0.0,606.0058,214.02504,1.7834182523895443,45576.056558154814,0.12845632083003702,1219077979.0992,35.9045882806,2598.4744374761
1980-04-04,-10.319687,9.373977,0.0,634.7712,239.39975,2.434236230673488,45710.90587469291,0.140499100907853,1219077979.0992,35.9045882806,2598.4744374761
1980-04-05,-4.870745,10.689096,0.0,562.20874,371.1455,2.601761527972845,45845.42750822896,0.1545490109986383,1219077979.0992,35.9045882806,2598.4744374761
1980-04-06,-0.8709327,9.152894,0.0,402.15894,547.5238,2.225677817203071,45979.59979156901,0.17261318111536225,1219077979.0992,35.9045882806,2598.4744374761
1980-04-07,-4.193043,6.4219995,0.0,432.22174,435.562,1.986048825024556,46113.40058296093,0.21476291138771814,1219077979.0992,35.9045882806,2598.4744374761
1980-04-08,-11.109337,7.8927884,0.0,630.2984,225.47545,2.287872420590825,46246.80723596088,0.2247985614525648,1219077979.0992,35.9045882806,2598.4744374761
1980-04-09,-8.910158,10.626659,0.0,635.5485,257.1596,2.688413817775383,46379.79657001303,0.25691264166007405,1219077979.0992,35.9045882806,2598.4744374761
1980-04-10,-4.3024755,12.68751,0.0,587.7224,363.69995,2.9715858402082165,46512.34484179718,0.2950481119064913,1219077979.0992,35.9045882806,2598.4744374761
